idx_a,idx_b,feat_a,feat_b,shap_interaction,feat_a_shap,feat_b_shap
2,11,bmi,smoking_alcohol,0.016015421599149704,0.4590221345424652,0.1596551090478897
1,3,heart_rate,calorie_expenditure,0.015975162386894226,0.12827566266059875,0.0736626386642456
2,10,bmi,physical_activity_level,0.015871355310082436,0.4590221345424652,0.30726319551467896
9,16,sleep_quality,stress_pal,0.015771307051181793,0.05883661285042763,0.5336976647377014
6,15,water_intake,step_cat_,0.015507888980209827,0.14126448333263397,0.06977128982543945
5,15,exercise_duration,step_cat_,0.01548275351524353,0.12609007954597473,0.06977128982543945
3,5,calorie_expenditure,exercise_duration,0.015480663627386093,0.0736626386642456,0.12609007954597473
2,15,bmi,step_cat_,0.015467772260308266,0.4590221345424652,0.06977128982543945
4,6,step_count,water_intake,0.014869196340441704,0.1052289828658104,0.14126448333263397
11,16,smoking_alcohol,stress_pal,0.014524497091770172,0.1596551090478897,0.5336976647377014
4,8,step_count,stress_level,0.01442343182861805,0.1052289828658104,0.4518119990825653
2,3,bmi,calorie_expenditure,0.014098296873271465,0.4590221345424652,0.0736626386642456
3,16,calorie_expenditure,stress_pal,0.013942699879407883,0.0736626386642456,0.5336976647377014
6,13,water_intake,calorie_cat_,0.013780245557427406,0.14126448333263397,0.059091661125421524
2,13,bmi,calorie_cat_,0.013687496073544025,0.4590221345424652,0.059091661125421524
0,7,sleep_duration,diet_type,0.01327380258589983,0.996743381023407,0.03629246726632118
1,13,heart_rate,calorie_cat_,0.013064103201031685,0.12827566266059875,0.059091661125421524
0,12,sleep_duration,gender,0.01289194356650114,0.996743381023407,0.05626390874385834
3,4,calorie_expenditure,step_count,0.011890812776982784,0.0736626386642456,0.1052289828658104
3,13,calorie_expenditure,calorie_cat_,0.011864673346281052,0.0736626386642456,0.059091661125421524
15,16,step_cat_,stress_pal,0.011828433722257614,0.06977128982543945,0.5336976647377014
5,13,exercise_duration,calorie_cat_,0.011739855632185936,0.12609007954597473,0.059091661125421524
13,16,calorie_cat_,stress_pal,0.011738275177776814,0.059091661125421524,0.5336976647377014
3,15,calorie_expenditure,step_cat_,0.01152239739894867,0.0736626386642456,0.06977128982543945
4,11,step_count,smoking_alcohol,0.01059549581259489,0.1052289828658104,0.1596551090478897
4,15,step_count,step_cat_,0.01050588022917509,0.1052289828658104,0.06977128982543945
8,9,stress_level,sleep_quality,0.010296393185853958,0.4518119990825653,0.05883661285042763
4,13,step_count,calorie_cat_,0.010151277296245098,0.1052289828658104,0.059091661125421524
2,9,bmi,sleep_quality,0.009746039286255836,0.4590221345424652,0.05883661285042763
6,11,water_intake,smoking_alcohol,0.009663745760917664,0.14126448333263397,0.1596551090478897
13,15,calorie_cat_,step_cat_,0.009658262133598328,0.059091661125421524,0.06977128982543945
5,11,exercise_duration,smoking_alcohol,0.00957388523966074,0.12609007954597473,0.1596551090478897
1,12,heart_rate,gender,0.009506236761808395,0.12827566266059875,0.05626390874385834
1,11,heart_rate,smoking_alcohol,0.009168600663542747,0.12827566266059875,0.1596551090478897
6,7,water_intake,diet_type,0.00907621905207634,0.14126448333263397,0.03629246726632118
2,12,bmi,gender,0.008922186680138111,0.4590221345424652,0.05626390874385834
0,14,sleep_duration,water_cat2_,0.008798154070973396,0.996743381023407,0.02819662354886532
5,12,exercise_duration,gender,0.008385248482227325,0.12609007954597473,0.05626390874385834
1,7,heart_rate,diet_type,0.008384490385651588,0.12827566266059875,0.03629246726632118
6,10,water_intake,physical_activity_level,0.00816817581653595,0.14126448333263397,0.30726319551467896
6,12,water_intake,gender,0.007943276315927505,0.14126448333263397,0.05626390874385834
4,7,step_count,diet_type,0.007774556986987591,0.1052289828658104,0.03629246726632118
3,12,calorie_expenditure,gender,0.007738237269222736,0.0736626386642456,0.05626390874385834
4,12,step_count,gender,0.007679811678826809,0.1052289828658104,0.05626390874385834
1,10,heart_rate,physical_activity_level,0.0076596420258283615,0.12827566266059875,0.30726319551467896
5,7,exercise_duration,diet_type,0.007507736794650555,0.12609007954597473,0.03629246726632118
5,9,exercise_duration,sleep_quality,0.007482385728508234,0.12609007954597473,0.05883661285042763
3,8,calorie_expenditure,stress_level,0.007349965628236532,0.0736626386642456,0.4518119990825653
7,12,diet_type,gender,0.007273028139024973,0.03629246726632118,0.05626390874385834
11,15,smoking_alcohol,step_cat_,0.007242460735142231,0.1596551090478897,0.06977128982543945
2,7,bmi,diet_type,0.007193075027316809,0.4590221345424652,0.03629246726632118
7,16,diet_type,stress_pal,0.007035552989691496,0.03629246726632118,0.5336976647377014
1,8,heart_rate,stress_level,0.007031931076198816,0.12827566266059875,0.4518119990825653
3,11,calorie_expenditure,smoking_alcohol,0.006999553646892309,0.0736626386642456,0.1596551090478897
6,9,water_intake,sleep_quality,0.006848827935755253,0.14126448333263397,0.05883661285042763
1,9,heart_rate,sleep_quality,0.006753808353096247,0.12827566266059875,0.05883661285042763
9,15,sleep_quality,step_cat_,0.006725468207150698,0.05883661285042763,0.06977128982543945
3,9,calorie_expenditure,sleep_quality,0.006689873989671469,0.0736626386642456,0.05883661285042763
10,13,physical_activity_level,calorie_cat_,0.006675449199974537,0.30726319551467896,0.059091661125421524
11,13,smoking_alcohol,calorie_cat_,0.006421521306037903,0.1596551090478897,0.059091661125421524
10,11,physical_activity_level,smoking_alcohol,0.006411663256585598,0.30726319551467896,0.1596551090478897
12,15,gender,step_cat_,0.006389259826391935,0.05626390874385834,0.06977128982543945
6,8,water_intake,stress_level,0.00634055444970727,0.14126448333263397,0.4518119990825653
12,16,gender,stress_pal,0.0061577847227454185,0.05626390874385834,0.5336976647377014
8,15,stress_level,step_cat_,0.006146658677607775,0.4518119990825653,0.06977128982543945
9,10,sleep_quality,physical_activity_level,0.005850097630172968,0.05883661285042763,0.30726319551467896
10,12,physical_activity_level,gender,0.005824577994644642,0.30726319551467896,0.05626390874385834
8,11,stress_level,smoking_alcohol,0.005784320179373026,0.4518119990825653,0.1596551090478897
3,10,calorie_expenditure,physical_activity_level,0.005753237288445234,0.0736626386642456,0.30726319551467896
4,9,step_count,sleep_quality,0.005647313315421343,0.1052289828658104,0.05883661285042763
10,15,physical_activity_level,step_cat_,0.005584294442087412,0.30726319551467896,0.06977128982543945
7,15,diet_type,step_cat_,0.005527057684957981,0.03629246726632118,0.06977128982543945
3,7,calorie_expenditure,diet_type,0.005487837363034487,0.0736626386642456,0.03629246726632118
14,16,water_cat2_,stress_pal,0.005460551008582115,0.02819662354886532,0.5336976647377014
1,14,heart_rate,water_cat2_,0.005438304040580988,0.12827566266059875,0.02819662354886532
2,14,bmi,water_cat2_,0.005232281517237425,0.4590221345424652,0.02819662354886532
6,14,water_intake,water_cat2_,0.005114640574902296,0.14126448333263397,0.02819662354886532
9,13,sleep_quality,calorie_cat_,0.005110311321914196,0.05883661285042763,0.059091661125421524
12,13,gender,calorie_cat_,0.00509495148435235,0.05626390874385834,0.059091661125421524
8,13,stress_level,calorie_cat_,0.00482689356431365,0.4518119990825653,0.059091661125421524
7,13,diet_type,calorie_cat_,0.0048029194585978985,0.03629246726632118,0.059091661125421524
9,11,sleep_quality,smoking_alcohol,0.004764477256685495,0.05883661285042763,0.1596551090478897
7,14,diet_type,water_cat2_,0.004184031393378973,0.03629246726632118,0.02819662354886532
5,14,exercise_duration,water_cat2_,0.0039032401982694864,0.12609007954597473,0.02819662354886532
11,12,smoking_alcohol,gender,0.003618916729465127,0.1596551090478897,0.05626390874385834
3,14,calorie_expenditure,water_cat2_,0.003499899758026004,0.0736626386642456,0.02819662354886532
7,9,diet_type,sleep_quality,0.003149793716147542,0.03629246726632118,0.05883661285042763
7,10,diet_type,physical_activity_level,0.003074959386140108,0.03629246726632118,0.30726319551467896
14,15,water_cat2_,step_cat_,0.003025416051968932,0.02819662354886532,0.06977128982543945
9,12,sleep_quality,gender,0.0029848378617316484,0.05883661285042763,0.05626390874385834
7,8,diet_type,stress_level,0.0029391543939709663,0.03629246726632118,0.4518119990825653
4,14,step_count,water_cat2_,0.0029325056821107864,0.1052289828658104,0.02819662354886532
10,14,physical_activity_level,water_cat2_,0.0028127403929829597,0.30726319551467896,0.02819662354886532
13,14,calorie_cat_,water_cat2_,0.002802352188155055,0.059091661125421524,0.02819662354886532
7,11,diet_type,smoking_alcohol,0.0024272084701806307,0.03629246726632118,0.1596551090478897
8,12,stress_level,gender,0.0021457665134221315,0.4518119990825653,0.05626390874385834
11,14,smoking_alcohol,water_cat2_,0.0021298385690897703,0.1596551090478897,0.02819662354886532
8,14,stress_level,water_cat2_,0.001696698716841638,0.4518119990825653,0.02819662354886532
9,14,sleep_quality,water_cat2_,0.001416627550497651,0.05883661285042763,0.02819662354886532
12,14,gender,water_cat2_,0.001228582113981247,0.05626390874385834,0.02819662354886532
